code,name,total_mcap,sector,mcap_b,size_group,first_kline_date,first_year
603444,吉比特,27118000000.0,游戏Ⅲ,271.18,LARGE,2017-01-03,2017
000951,中国重汽,27156000000.0,商用载货车,271.56,LARGE,2000-12-12,2000
300236,上海新阳,27164000000.0,电子化学品Ⅲ,271.64,LARGE,2011-08-22,2011
300496,中科创达,27241000000.000004,IT服务Ⅲ,272.41,LARGE,2016-03-14,2016
300570,太辰光,27255000000.0,通信网络设备及器件,272.55,LARGE,2016-12-05,2016
000415,渤海租赁,27397000000.000004,租赁,273.97,LARGE,2003-01-24,2003
601001,晋控煤业,27398000000.0,动力煤,273.98,LARGE,2007-03-29,2007
002245,蔚蓝锂芯,27408000000.0,锂电池,274.08,LARGE,2008-08-19,2008
002797,第一创业,27442000000.0,证券Ⅲ,274.42,LARGE,2016-06-02,2016
000513,丽珠集团,27454000000.000004,化学制剂,274.54,LARGE,2001-04-23,2001
603939,益丰药房,27520999999.999996,线下药店,275.21,LARGE,2015-08-07,2015
002608,江苏国信,27580000000.0,火力发电,275.8,LARGE,2013-04-03,2013
600369,西南证券,27644000000.0,证券Ⅲ,276.44,LARGE,2003-01-15,2003
002131,利欧股份,27697000000.000004,金属制品,276.97,LARGE,2008-10-27,2008
002025,航天电器,27732000000.0,军工电子Ⅲ,277.32,LARGE,2005-07-21,2005
002223,鱼跃医疗,27779000000.000004,医疗设备,277.79,LARGE,2008-08-15,2008
600777,新潮能源,27882000000.0,油气开采Ⅲ,278.82,LARGE,2001-11-28,2001
002603,以岭药业,27933999999.999996,中药Ⅲ,279.34,LARGE,2011-08-24,2011
000060,中金岭南,27935000000.000004,铅锌,279.35,LARGE,2000-05-22,2000
601000,唐山港,28267000000.0,港口,282.67,LARGE,2010-11-18,2010
601933,永辉超市,28292000000.0,超市,282.92,LARGE,2011-01-18,2011
002271,东方雨虹,28306000000.0,防水材料,283.06,LARGE,2008-10-24,2008
601717,中创智领,28406000000.0,能源及重型设备,284.06,LARGE,2011-06-08,2011
300339,润和软件,28495999999.999996,IT服务Ⅲ,284.96,LARGE,2013-03-04,2013
000629,钒钛股份,28616000000.000004,冶钢辅料,286.16,LARGE,2002-07-25,2002
300870,欧陆通,28641000000.000004,其他电源设备Ⅲ,286.41,LARGE,2020-08-21,2020
300672,国科微,28664000000.0,数字芯片设计,286.64,LARGE,2017-08-11,2017
600517,国网英大,28877999999.999996,信托,288.78,LARGE,2004-07-16,2004
301018,申菱环境,29026000000.0,制冷空调设备,290.26,LARGE,2021-07-06,2021
603198,迎驾贡酒,29320000000.0,白酒Ⅲ,293.2,LARGE,2015-05-27,2015
300413,芒果超媒,29333000000.0,视频媒体,293.33,LARGE,2016-02-17,2016
600329,达仁堂,29341000000.000004,中药Ⅲ,293.41,LARGE,2001-08-28,2001
600884,杉杉股份,29400000000.0,电池化学品,294.0,LARGE,2000-06-02,2000
002244,滨江集团,29402999999.999996,住宅开发,294.03,LARGE,2008-06-30,2008
600398,海澜之家,29585000000.000004,非运动服装,295.85,LARGE,2001-07-18,2001
000539,粤电力Ａ,29664000000.0,火力发电,296.64,LARGE,2000-11-08,2000
600688,上海石化,29730000000.0,炼油化工,297.3,LARGE,2000-07-05,2000
600707,彩虹股份,29748000000.0,面板,297.48,LARGE,2000-10-12,2000
603345,安井食品,29749000000.0,预加工食品,297.49,LARGE,2017-04-19,2017
600536,中国软件,29760000000.000004,IT服务Ⅲ,297.6,LARGE,2002-08-27,2002
603766,隆鑫通用,29797000000.000004,摩托车,297.97,LARGE,2012-10-12,2012
603308,应流股份,29810000000.000004,金属制品,298.1,LARGE,2014-05-07,2014
605589,圣泉集团,29818000000.0,合成树脂,298.18,LARGE,2021-08-09,2021
301205,联特科技,29856000000.0,通信网络设备及器件,298.56,LARGE,2022-09-09,2022
002487,大金重工,29899000000.0,风电零部件,298.99,LARGE,2010-11-18,2010
002673,西部证券,29902000000.0,证券Ⅲ,299.02,LARGE,2012-05-30,2012
600925,苏能股份,29967000000.0,动力煤,299.67,LARGE,2023-03-28,2023
002747,埃斯顿,30060000000.000004,机器人,300.6,LARGE,2015-06-12,2015
601990,南京证券,30093000000.0,证券Ⅲ,300.93,LARGE,2018-06-12,2018
300776,帝尔激光,30202999999.999996,光伏加工设备,302.03,LARGE,2019-05-16,2019
300487,蓝晓科技,30217000000.0,合成树脂,302.17,LARGE,2015-07-14,2015
300122,智飞生物,30233999999.999996,疫苗,302.34,LARGE,2011-01-19,2011
