symbol,target_date,size_class,size_class_source,historical_mcap_b,mcap_quality,share_effective_date,share_date_quality,current_size_group
600184,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.3213940736452111,PIT_SAFE,2003-11-06,KNOWN_EFFECTIVE_DATE,LARGE
600188,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,4.116646694761586,PIT_SAFE,2004-07-15,KNOWN_EFFECTIVE_DATE,LARGE
600188,2007-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,15.035746366183561,PIT_SAFE,2004-07-15,KNOWN_EFFECTIVE_DATE,LARGE
600188,2008-10-15,MID,PIT_SAFE_HISTORICAL_MCAP,7.953086950208344,PIT_SAFE,2004-07-15,KNOWN_EFFECTIVE_DATE,LARGE
600192,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.12300337792240583,PIT_SAFE,2000-08-11,KNOWN_EFFECTIVE_DATE,MID
600192,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.6209452055844233,PIT_SAFE,2006-11-13,KNOWN_EFFECTIVE_DATE,MID
600192,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.18851463741563446,PIT_SAFE,2006-11-13,KNOWN_EFFECTIVE_DATE,MID
600202,2005-06-15,SMALL,APPROXIMATE_HISTORICAL_MCAP,0.6525924933822305,APPROXIMATE,2004-12-31,APPROXIMATE_EFFECTIVE_DATE,MID
600202,2007-10-15,SMALL,APPROXIMATE_HISTORICAL_MCAP,2.087494627977982,APPROXIMATE,2007-06-30,APPROXIMATE_EFFECTIVE_DATE,MID
600202,2008-10-15,SMALL,APPROXIMATE_HISTORICAL_MCAP,4.012667500332335,APPROXIMATE,2008-06-30,APPROXIMATE_EFFECTIVE_DATE,MID
600203,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.5290426310241848,PIT_SAFE,2006-11-16,KNOWN_EFFECTIVE_DATE,MID
600203,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.9408232810946925,PIT_SAFE,2006-11-16,KNOWN_EFFECTIVE_DATE,MID
600203,2012-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,1.0976271278338587,PIT_SAFE,2006-11-16,KNOWN_EFFECTIVE_DATE,MID
600208,2007-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,2.3549836628917995,PIT_SAFE,2007-09-04,KNOWN_EFFECTIVE_DATE,LARGE
600208,2008-10-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,4.967226446502105,PIT_SAFE,2008-09-05,KNOWN_EFFECTIVE_DATE,LARGE
600208,2012-06-15,MID,PIT_SAFE_HISTORICAL_MCAP,5.486535102416085,PIT_SAFE,2009-11-30,KNOWN_EFFECTIVE_DATE,LARGE
600210,2005-06-15,SMALL,PIT_SAFE_HISTORICAL_MCAP,0.717318436263291,PIT_SAFE,2003-12-26,KNOWN_EFFECTIVE_DATE,LARGE
