replay_case_id,symbol,as_of_date,market_cap_quality,market_cap,ma20,atr_pct,vol_ratio,price_pos,filter_market_cap,filter_st,filter_turnover_1d,filter_turnover_20d,filter_price_pos,filter_vol_ratio,filter_atr,final_candidate,exclusion_reason,pit_confidence
600809_2008-06-15,600809,2008-06-15,PIT_SAFE,2401793944.6711173,4.931754165255904,6.7661658445187625,1.2023155906802026,18.749998298819325,PASS,UNKNOWN,PASS,PASS,PASS,FAIL,PASS,UNKNOWN,ST_UNKNOWN; VOL_RATIO_BELOW,LOW
600809_2015-06-15,600809,2015-06-15,PIT_SAFE,6100847493.907522,13.878285253005782,3.1331760912513578,1.8036120308034724,83.11028264067465,PASS,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
600809_2022-12-15,600809,2022-12-15,PIT_SAFE,315272353531.682,241.84920190676203,3.9544407544885987,1.09740168860551,50.26068827276987,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
000596_2008-06-15,000596,2008-06-15,APPROXIMATE,1484723299.2980025,6.144181667143227,6.6320650593213015,1.0766881742690617,38.91600360808975,PASS,UNKNOWN,FAIL,FAIL,PASS,FAIL,PASS,UNKNOWN,ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; VOL_RATIO_BELOW,LOW
000596_2015-06-15,000596,2015-06-15,PIT_SAFE,18998462407.141262,33.32671284479591,5.426044039931267,1.3745862242590288,100.0,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
000596_2022-12-15,000596,2022-12-15,PIT_SAFE,130940810389.42757,225.64936583551312,4.057958745317644,0.8188251873610853,97.56178426690843,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
603259_2022-12-15,603259,2022-12-15,PIT_SAFE,208180320339.99564,72.18075357543448,3.364028158142913,0.6117068681951298,12.718453064878393,FAIL,UNKNOWN,PASS,PASS,PASS,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; VOL_RATIO_BELOW,LOW
002502_2015-06-15,002502,2015-06-15,UNKNOWN,,0.6840275913476944,5.397785797025641,0.5716572396085853,21.232871853610806,UNKNOWN,UNKNOWN,FAIL,PASS,PASS,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; VOL_RATIO_BELOW,LOW
002502_2022-12-15,002502,2022-12-15,UNKNOWN,,0.5405463814735413,2.3751913407430396,0.5604569314145792,28.14237750530521,UNKNOWN,UNKNOWN,FAIL,FAIL,PASS,FAIL,FAIL,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; VOL_RATIO_BELOW; ATR_BELOW,LOW
300139_2015-06-15,300139,2015-06-15,PIT_SAFE,3094461789.94558,28.531618885764818,9.030875016988846,0.7787256340303003,79.44920795608084,PASS,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
300139_2022-12-15,300139,2022-12-15,PIT_SAFE,876810723.3341727,7.8510850137973875,2.29923975517477,0.8975314567451234,17.10319659819169,PASS,UNKNOWN,FAIL,PASS,PASS,FAIL,FAIL,UNKNOWN,ST_UNKNOWN; TURNOVER_1D_BELOW; VOL_RATIO_BELOW; ATR_BELOW,LOW
300346_2015-06-15,300346,2015-06-15,PIT_SAFE,550549369.8172497,5.0684662727614995,3.327690407077847,1.5004913718046315,71.94020805979193,PASS,UNKNOWN,FAIL,FAIL,FAIL,FAIL,PASS,UNKNOWN,ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
300346_2022-12-15,300346,2022-12-15,PIT_SAFE,10512235519.380522,26.07626973892072,3.835797598595951,0.542284658739402,45.307272615791106,FAIL,UNKNOWN,PASS,PASS,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_ABOVE_90B; ST_UNKNOWN; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
002359_2015-06-15,002359,2015-06-15,UNKNOWN,,4.0275,2.9333333333333327,1.1599952953229133,14.689265536723155,UNKNOWN,UNKNOWN,FAIL,PASS,PASS,FAIL,FAIL,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; VOL_RATIO_BELOW; ATR_BELOW,LOW
002359_2022-12-15,002359,2022-12-15,UNKNOWN,,4.113472093917846,2.3595256638064317,0.957058133070395,53.514375579820815,UNKNOWN,UNKNOWN,FAIL,PASS,FAIL,FAIL,FAIL,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW; ATR_BELOW,LOW
000668_2008-06-15,000668,2008-06-15,UNKNOWN,,0.7149239620697256,4.557900417498964,0.6105207876398437,81.29092487628753,UNKNOWN,UNKNOWN,FAIL,FAIL,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
000668_2015-06-15,000668,2015-06-15,UNKNOWN,,2.024556554592139,3.7011797523380077,0.5909914732597418,96.58410825014847,UNKNOWN,UNKNOWN,FAIL,FAIL,FAIL,FAIL,PASS,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; TURNOVER_20D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW,LOW
000668_2022-12-15,000668,2022-12-15,UNKNOWN,,1.9771460476205558,2.986839625119868,0.7703834144612631,61.538440480076,UNKNOWN,UNKNOWN,FAIL,PASS,FAIL,FAIL,FAIL,UNKNOWN,MARKET_CAP_UNKNOWN; ST_UNKNOWN; TURNOVER_1D_BELOW; PRICE_POS_ABOVE; VOL_RATIO_BELOW; ATR_BELOW,LOW
